component,explained_variance_ratio,cumulative_variance
PC1,0.8888653105323627,0.8888653105323627
PC2,0.06968814714837905,0.9585534576807417
PC3,0.02383978523352588,0.9823932429142677
PC4,0.016965508578372562,0.9993587514926402
PC5,0.0006412485073596676,0.9999999999999999
