data_number,chemical_formula,tc_kelvin,quality_tier,quality_score,quality_badges
155769,La1Pt1.97Ge2.03,0.83,tier1_strict,5,"Tier1, StableFormula, Modern"
155770,La1Pt1.94Ge2.06,0.95,tier1_strict,5,"Tier1, StableFormula, Modern"
155771,La1Pt1.9Ge2.1,1.67,tier1_strict,5,"Tier1, StableFormula, Modern"
156005,La1Fe1As1H0.42O0.58,20.3,tier1_strict,5,"Tier1, StableFormula, Modern"
156006,La1Fe1As1H0.41O0.59,19.5,tier1_strict,5,"Tier1, StableFormula, Modern"
156007,La1Fe1As1H0.4O0.6,23.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156008,Ba0.59K0.41Fe2As2,36.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156009,Ce1Bi3.7Pb0.3Te6,2.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156010,Ce1Bi3.6Pb0.4Te6,3.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156011,Ce1Bi3.5Pb0.5Te6,3.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156012,Ce1Bi3.4Pb0.6Te6,3.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156013,Ce1Bi3.3Pb0.7Te6,2.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156014,Ce1Bi3.2Pb0.8Te6,2.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156015,Ce1Bi3.1Pb0.9Te6,2.8,tier1_strict,5,"Tier1, StableFormula, Modern"
156016,Ce1Bi3Pb1Te6,2.7,tier1_strict,5,"Tier1, StableFormula, Modern"
156018,La3Ru4Sn13,2.65,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156023,U0.95Pd0.05,0.69,tier1_strict,5,"Tier1, StableFormula, Modern"
156024,U0.95Pt0.05,0.69,tier1_strict,5,"Tier1, StableFormula, Modern"
156025,Ta5Ge1B2,3.8,tier1_strict,5,"Tier1, StableFormula, Modern"
156027,La3Co4Sn12.35In0.65,5.1,tier1_strict,5,"Tier1, StableFormula, Modern"
156028,La3Co4Sn11.7In1.3,4.6,tier1_strict,5,"Tier1, StableFormula, Modern"
156029,Li0.15Sr2Cu1Br2O2,8.0,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, Modern"
156032,La1Fe1P1F0.03O0.97,7.8,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, Modern"
156033,La1Fe1P1F0.05O0.95,7.4075,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, Modern"
156034,La1Fe1P1F0.08O0.92,7.8,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, Modern"
156035,La1Fe1P1F0.1O0.9,19.7125,tier1_strict,5,"Tier1, StableFormula, Modern"
156042,Ba1Pd0.3Si1.7,2.9,tier1_strict,5,"Tier1, StableFormula, Modern"
