data_number,chemical_formula,tc_kelvin,quality_tier,quality_score,quality_badges
3,Ba0.1La1.9Ag0.1Cu0.9O4-Y,26.5,tier2_standard,4,"Tier2, ReliableMeasurement"
4,Ba0.1La1.9Cu1O4-Y,19.0,tier2_standard,2,Tier2
5,Ba0.15La1.85Cu1O4-Y,26.0,tier2_standard,2,Tier2
6,Ba0.3La1.7Cu1O4-Y,23.0,tier2_standard,2,Tier2
7,Ba0.5La1.5Cu1O4-Y,23.0,tier2_standard,2,Tier2
8,Ba1La1Cu1O4-Y,11.0,tier2_standard,2,Tier2
11,Sr0.1La1.9Cu1O4-Y,33.0,tier2_standard,2,Tier2
12,Sr0.15La1.85Cu1O4-Y,36.0,tier2_standard,2,Tier2
13,Sr0.2La1.8Cu1O4-Y,31.0,tier2_standard,2,Tier2
14,Sr0.3La1.7Cu1O4-Y,33.0,tier2_standard,2,Tier2
15,Ba0.3La1.7Hg0.3Cu0.7O4-Y,26.0,tier2_standard,2,Tier2
17,Ba0.1La1.9Ag0.05Cu0.95O4-Y,27.0,tier2_standard,2,Tier2
19,Ba0.1La1.9Ag0.25Cu0.75O4-Y,26.0,tier2_standard,2,Tier2
20,Ba0.1La1.9Ag0.5Cu0.5O4-Y,27.0,tier2_standard,2,Tier2
21,Y1Ba1.5Ca0.5Cu3O7-Z,82.0,tier2_standard,3,"Tier2, HighTc"
23,La1.85Ba0.15Cu1O4,29.025,tier1_strict,6,"Tier1, StableFormula, ReliableMeasurement"
24,La1.85Sr0.15Cu1O4,36.026666666666664,tier2_standard,3,"Tier2, StableFormula"
36,La1.95Sr0.05Cu1O4-Y,14.8,tier2_standard,2,Tier2
37,La1.9Sr0.1Cu1O4-Y,30.0,tier2_standard,2,Tier2
38,La1.775Sr0.225Cu1O4-Y,35.5,tier2_standard,2,Tier2
39,La1.75Sr0.25Cu1O4-Y,23.3,tier2_standard,2,Tier2
40,La1.7Sr0.3Cu1O4-Y,18.2,tier2_standard,2,Tier2
41,La1.65Sr0.35Cu1O4-Y,18.3,tier2_standard,2,Tier2
42,La1.6Sr0.4Cu1O4-Y,18.3,tier2_standard,2,Tier2
43,La1.825Sr0.175Cu1O4-Y,37.5,tier2_standard,2,Tier2
44,La1.85Ca0.15Cu1O4-Y,20.0,tier2_standard,2,Tier2
51,Y0.4Ba0.6Cu1OX,90.83333333333331,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, HighTc"
53,Er0.5Ba0.5Cu1OX,92.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
54,Tm0.35Ba0.65Cu1OX,93.2,tier1_strict,5,"Tier1, StableFormula, HighTc"
55,Tm0.3Ba0.7Cu1OX,94.4,tier1_strict,5,"Tier1, StableFormula, HighTc"
56,Tm0.25Ba0.75Cu1OX,93.2,tier1_strict,5,"Tier1, StableFormula, HighTc"
57,Tm0.2Ba0.8Cu1OX,80.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
58,La2Ba4Cu6O14+X,48.0,tier1_strict,4,"Tier1, StableFormula"
59,Y1Ba2Cu3OX,91.43846153846154,tier2_standard,4,"Tier2, StableFormula, HighTc"
60,Y1.6Ba2.4Cu3O10-X,90.0,tier2_standard,3,"Tier2, HighTc"
61,Y1.2Ba1.8Cu2O7-X,92.0,tier2_standard,3,"Tier2, HighTc"
62,Y0.8Ba1.2Cu1O4-X,80.0,tier2_standard,3,"Tier2, HighTc"
65,Nd0.4Ba0.6Cu1OX,85.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
66,Eu0.4Ba0.6Cu1O3-X,8.0,tier2_standard,2,Tier2
67,Gd0.4Ba0.6Cu1O3-X,13.0,tier2_standard,2,Tier2
68,Dy0.4Ba0.6Cu1O3-X,91.0,tier2_standard,3,"Tier2, HighTc"
69,Ho0.4Ba0.6Cu1O3-X,94.0,tier2_standard,3,"Tier2, HighTc"
70,Er0.4Ba0.6Cu1O3-X,93.0,tier2_standard,3,"Tier2, HighTc"
71,Tm0.4Ba0.6Cu1O3-X,93.0,tier2_standard,3,"Tier2, HighTc"
72,Lu0.4Ba0.6Cu1O3-X,91.0,tier2_standard,3,"Tier2, HighTc"
75,Nd2Ba3Cu5OX,18.0,tier1_strict,4,"Tier1, StableFormula"
76,Sm1Ba2Cu3OX,68.6,tier1_strict,4,"Tier1, StableFormula"
78,Gd2Ba3Cu5OX,40.0,tier1_strict,4,"Tier1, StableFormula"
85,Y0.3Ba0.7Cu1O3-X,95.5,tier2_standard,3,"Tier2, HighTc"
86,Y0.8Ba1.2Cu1OX,94.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
87,Y0.6Ba0.9Cu1OX,88.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
88,Ba0.3La1.7Hg0.15Cu0.85O4-Y,28.0,tier2_standard,4,"Tier2, ReliableMeasurement"
93,La1.85Sr0.15Cu1O4-Y,36.266666666666666,tier2_standard,4,"Tier2, ReliableMeasurement"
95,Sr0.35La1.65Cu1O4-Y,26.0,tier2_standard,2,Tier2
98,Yb0.4Ba0.6Cu1O3-X,88.0,tier2_standard,3,"Tier2, HighTc"
105,Ba0.15La1.85Cu1O4,28.0,tier1_strict,4,"Tier1, StableFormula"
106,Sr0.15La1.85Cu1O4,34.7,tier1_strict,4,"Tier1, StableFormula"
108,Sr0.2La1.8Cu0.95Ti0.05O4,21.0,tier1_strict,4,"Tier1, StableFormula"
109,Sr0.2La1.8Cu0.99V0.01O4,12.0,tier1_strict,4,"Tier1, StableFormula"
110,Sr0.2La1.8Cu0.99Cr0.01O4,22.0,tier1_strict,4,"Tier1, StableFormula"
111,Sr0.2La1.8Cu0.98Mn0.02O4,32.0,tier1_strict,4,"Tier1, StableFormula"
112,Sr0.2La1.8Cu0.95Fe0.05O4,30.0,tier1_strict,4,"Tier1, StableFormula"
113,Sr0.2La1.8Cu0.95Co0.05O4,16.0,tier1_strict,4,"Tier1, StableFormula"
114,Sr0.2La1.8Cu0.95Ni0.05O4,21.0,tier1_strict,4,"Tier1, StableFormula"
115,Sr0.2La1.8Cu0.99Zn0.01O4,29.0,tier1_strict,4,"Tier1, StableFormula"
116,Pr0.1La1.7Sr0.2Cu1O4,36.0,tier1_strict,4,"Tier1, StableFormula"
117,Nd0.1La1.7Sr0.2Cu1O4,35.0,tier1_strict,4,"Tier1, StableFormula"
118,Sm0.1La1.7Sr0.2Cu1O4,32.0,tier1_strict,4,"Tier1, StableFormula"
119,Gd0.1La1.7Sr0.2Cu1O4,30.0,tier1_strict,4,"Tier1, StableFormula"
120,Y1Ba2Cu2.85Fe0.15O7,51.0,tier1_strict,4,"Tier1, StableFormula"
121,Y1Ba2Cu2.7Fe0.3O7,41.9,tier1_strict,4,"Tier1, StableFormula"
122,Y1Ba2Cu2.97Fe0.03O7,86.6,tier1_strict,5,"Tier1, StableFormula, HighTc"
123,Y1Ba2Cu2.94Fe0.06O7,74.10000000000001,tier1_strict,4,"Tier1, StableFormula"
124,Y1Ba2Cu2.88Fe0.12O7,66.825,tier1_strict,4,"Tier1, StableFormula"
125,Y1Ba2Cu3O7,90.18623188405796,tier2_standard,4,"Tier2, StableFormula, HighTc"
126,Y1Ba2Cu3S1O6,89.5,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, HighTc"
127,Y1Ba2Cu3Cl1O6,72.0,tier1_strict,4,"Tier1, StableFormula"
128,Y1Ba2Cu3O7+Y,92.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
130,Y1Ba2Cu3O7-Y,90.97058823529412,tier2_standard,3,"Tier2, HighTc"
131,Gd1Ba2Cu3O7-Y,94.5,tier2_standard,3,"Tier2, HighTc"
138,Ho1Ba2Cu3O8-X,85.0,tier2_standard,3,"Tier2, HighTc"
139,Y0.1Gd0.9Ba2Cu3O8-X,90.5,tier2_standard,3,"Tier2, HighTc"
140,Er1Ba2Cu3O7-X,275.0,tier2_standard,3,"Tier2, HighTc"
141,Y1Ba2Cu3O7-X,89.79375,tier2_standard,3,"Tier2, HighTc"
146,Y3Ba5Cu4Nb1O18-X,77.3,tier2_standard,3,"Tier2, HighTc"
148,Sm0.45Ba0.55Cu1O3-Y,69.0,tier2_standard,2,Tier2
149,Sm0.4Ba0.6Cu1O3-Y,84.3,tier2_standard,3,"Tier2, HighTc"
150,Sm0.33Ba0.67Cu1O7-X,86.4,tier2_standard,3,"Tier2, HighTc"
151,Sm0.3Ba0.7Cu1O3-Y,88.8,tier2_standard,3,"Tier2, HighTc"
152,Sm0.25Ba0.75Cu1O3-Y,73.6,tier2_standard,2,Tier2
153,Sm0.2Ba0.8Cu1O3-Y,62.5,tier2_standard,2,Tier2
154,Sm0.35Ba0.65Cu1O3-Y,93.1,tier2_standard,3,"Tier2, HighTc"
156,Y1Ba2Cu3O9-X,92.0,tier2_standard,3,"Tier2, HighTc"
158,Bi2Sr2Cu2O7+Z,22.0,tier1_strict,4,"Tier1, StableFormula"
159,Bi1Sr1Cu1OY,6.16,tier1_strict,6,"Tier1, StableFormula, ReliableMeasurement"
161,Er1Ba2Cu3OX,89.72,tier1_strict,5,"Tier1, StableFormula, HighTc"
162,Ho1Ba2Cu3OX,90.675,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, HighTc"
163,Gd1Ba2Cu3OX,92.06666666666666,tier1_strict,5,"Tier1, StableFormula, HighTc"
164,Y1Ba2Cu3O6.9,90.9753947368421,tier1_strict,5,"Tier1, StableFormula, HighTc"
172,Eu1.5Ba1.5Cu3Oz,89.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
173,Gd1.5Ba1.5Cu3Oz,92.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
174,Y1.5Ba1.5Cu3Oz,90.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
175,Yb1.5Ba1.5Cu3Oz,90.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
183,Y1Ba2Cu2.75Ni0.25O7,58.95,tier1_strict,4,"Tier1, StableFormula"
185,Y1Ba2Cu2.95Al0.05O7,88.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
186,Y1Ba2Cu2.9Al0.1O7,75.0,tier1_strict,4,"Tier1, StableFormula"
188,La1.85Sr0.15Cu0.975Ni0.025O4,19.98,tier1_strict,4,"Tier1, StableFormula"
189,La1.85Sr0.15Cu0.95Ni0.05O4,4.2,tier1_strict,4,"Tier1, StableFormula"
193,Y1Ba2Cu2.89Al0.11O7,82.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
194,Y1Ba2Cu2.88Al0.12O7,51.0,tier1_strict,4,"Tier1, StableFormula"
195,Y1Ba2Cu2.87Al0.13O7,45.0,tier1_strict,4,"Tier1, StableFormula"
196,Y1Ba2Cu2.865Al0.135O7,45.0,tier1_strict,4,"Tier1, StableFormula"
197,Y1Ba2Cu2.82Al0.18O7,20.0,tier1_strict,4,"Tier1, StableFormula"
199,Y1Ba2Cu3O7-Z,90.12737373737374,tier2_standard,3,"Tier2, HighTc"
200,Y1Ba2Cu3O6.8,83.47142857142858,tier1_strict,5,"Tier1, StableFormula, HighTc"
201,Er1Ba2Cu3O7-Z,89.85714285714286,tier2_standard,3,"Tier2, HighTc"
202,Y1Ba2Cu3H0.14O7,92.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
203,Y1Ba2Cu3H0.48O7,70.8,tier1_strict,5,"Tier1, StableFormula, HighTc"
204,Y1Ba2Cu3H1O7,93.2,tier1_strict,5,"Tier1, StableFormula, HighTc"
207,Y1Ba2Cu3O9-Z,91.66666666666669,tier2_standard,5,"Tier2, ReliableMeasurement, HighTc"
208,Eu1Ba2Cu3O7.1,94.9,tier1_strict,5,"Tier1, StableFormula, HighTc"
209,Gd1Ba2Cu3O7.08,93.8,tier1_strict,5,"Tier1, StableFormula, HighTc"
210,Dy1Ba2Cu3O6.82,92.7,tier1_strict,5,"Tier1, StableFormula, HighTc"
211,Ho1Ba2Cu3O6.71,92.9,tier1_strict,5,"Tier1, StableFormula, HighTc"
222,Er1Ba2Cu3O6.82,92.4,tier1_strict,5,"Tier1, StableFormula, HighTc"
223,Tm1Ba2Cu3O6.65,92.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
224,Yb1Ba2Cu3O6.71,87.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
225,Lu1Ba2Cu3O7-X,89.5,tier2_standard,3,"Tier2, HighTc"
226,Y1Ba2Cu3O6.72,72.07142857142857,tier1_strict,5,"Tier1, StableFormula, HighTc"
228,Nd1Ba2Cu3O7.16,95.3,tier1_strict,5,"Tier1, StableFormula, HighTc"
229,Sm1Ba2Cu3O7.11,93.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
232,La1.85Sr0.15Cu1O4-Z,32.666666666666664,tier2_standard,2,Tier2
233,Y1Ba2.01Cu2.81Ni0.19O6.7,65.0,tier1_strict,4,"Tier1, StableFormula"
234,Y1Ba2.02Cu2.18Zn0.82O7,30.0,tier1_strict,4,"Tier1, StableFormula"
235,Y1Ba1.99Cu2.847Ag0.153O6.7,86.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
236,Y1Ba2Cu2.902Pt0.098O6.4,81.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
237,Y1Ba2.01Cu2.7Co0.3O6.8,36.0,tier1_strict,4,"Tier1, StableFormula"
239,Y1.01Ba2.01Cu2.906Ni0.094O6.7,71.0,tier1_strict,4,"Tier1, StableFormula"
240,Y1Ba2Cu2.697Mn0.303O6.9,63.0,tier1_strict,4,"Tier1, StableFormula"
241,Y1Ba2Cu2.844Fe0.156O7,57.0,tier1_strict,4,"Tier1, StableFormula"
242,Y1.01Ba2.01Cu2.697Fe0.303O,36.0,tier1_strict,4,"Tier1, StableFormula"
245,Y0.99Ba1.99Cu2.847Li0.153O6.4,62.0,tier1_strict,4,"Tier1, StableFormula"
246,Y1.01Ba2.03Cu2.808Li0.192O6.6,33.0,tier1_strict,4,"Tier1, StableFormula"
247,Y1Ba2Cu2.85Fe0.15O7-Z,63.34,tier2_standard,2,Tier2
249,Y1Ba2Cu2.7Fe0.3O7-Z,3.0,tier2_standard,4,"Tier2, ReliableMeasurement"
251,Y1Ba2Cu2.955Fe0.045O7-Z,75.575,tier2_standard,2,Tier2
253,Y1Ba2Cu2.895Fe0.105O7-Z,63.66666666666666,tier2_standard,2,Tier2
254,Y1Ba2Cu3F0.825O,90.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
255,Y1Ba2Cu3F1.65O5.675,90.3,tier1_strict,5,"Tier1, StableFormula, HighTc"
256,Y1Ba2Cu3F0.066Oz,92.8,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, HighTc"
258,Y1Ba2Cu3F0.165Oz,91.6,tier1_strict,5,"Tier1, StableFormula, HighTc"
259,Y1Ba2Cu3F0.016Oz,90.8,tier1_strict,5,"Tier1, StableFormula, HighTc"
260,Y1Ba2Cu3F0.033Oz,92.1,tier1_strict,5,"Tier1, StableFormula, HighTc"
261,Y1Ba2Cu3F0.05Oz,92.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
262,Y1Ba2Cu3Oz,90.4525,tier2_standard,4,"Tier2, StableFormula, HighTc"
266,Gd1Ba2Cu3Oz,90.255,tier1_strict,5,"Tier1, StableFormula, HighTc"
268,Dy1Ba2Cu3OX,91.66,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, HighTc"
272,La1.85Sr0.15Cu1O4-X,34.0,tier2_standard,2,Tier2
273,La1.85Sr0.15Cu0.995Ni0.005O4-X,30.5,tier2_standard,2,Tier2
274,La1.85Sr0.15Cu0.99Ni0.01O4-X,30.5,tier2_standard,2,Tier2
275,La1.85Sr0.15Cu0.98Ni0.02O4-X,23.0,tier2_standard,2,Tier2
276,La1.85Sr0.15Cu0.97Ni0.03OX,24.0,tier1_strict,4,"Tier1, StableFormula"
278,Tl2Ca2Ba1Cu3OX,110.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
279,Tl2Ca2Ba2Cu3OX,115.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
283,Y1Ba2Cu2.85Ti0.15Oz,94.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
284,Y1Ba2Cu2.7Ti0.3Oz,92.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
285,Y1Ba2Cu2.55Ti0.45Oz,92.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
286,Y1Ba2Cu2.4Ti0.6Oz,93.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
287,Y1Ba2Cu2.25Ti0.75Oz,88.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
288,Y1Ba2Cu2.1Ti0.9Oz,83.5,tier1_strict,5,"Tier1, StableFormula, HighTc"
289,Bi1Sr1Ca1Cu2Oz,108.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
290,Bi2Sr1.8Ca1.2Cu2Oz,75.0,tier1_strict,4,"Tier1, StableFormula"
291,Bi2Sr3Ca4Cu8Oz,104.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
293,La1.85Sr0.15Cu0.925Zn0.025O4,15.0,tier1_strict,4,"Tier1, StableFormula"
296,Y1Ba2Cu2.841Co0.159O6.8,54.0,tier1_strict,4,"Tier1, StableFormula"
297,Y1Ba2.01Cu2.806Cr0.194O7.3,62.0,tier1_strict,4,"Tier1, StableFormula"
298,Y1Ba2Cu3O6.74,78.275,tier1_strict,5,"Tier1, StableFormula, HighTc"
299,Y1Ba2Cu2.98Fe0.02O6.93,90.4,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, HighTc"
300,Y1Ba2Cu2.95Fe0.05O6.92,91.8,tier1_strict,5,"Tier1, StableFormula, HighTc"
301,Y1Ba2Cu2.9Fe0.1O6.92,62.0,tier1_strict,4,"Tier1, StableFormula"
302,Y1Ba2Cu2.8Fe0.2O6.93,49.0,tier1_strict,4,"Tier1, StableFormula"
304,Y1Ba2Cu2.6Fe0.4O7,31.0,tier1_strict,4,"Tier1, StableFormula"
307,Y1Ba2Cu2.95Al0.05O6.93,91.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
308,Y1Ba2Cu2.9Al0.1O6.93,92.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
309,Y1Ba2Cu2.8Al0.2O6.91,85.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
310,Y1Ba2Cu2.7Al0.3O6.99,73.0,tier1_strict,4,"Tier1, StableFormula"
311,Y1Ba2Cu2.6Al0.4O7,42.0,tier1_strict,4,"Tier1, StableFormula"
312,Y1Ba2Cu2.9Ni0.1O6.87,55.0,tier1_strict,4,"Tier1, StableFormula"
313,Y1Ba2Cu2.8Ni0.2O6.82,45.0,tier1_strict,4,"Tier1, StableFormula"
314,Y1Ba2Cu2.98Co0.02O6.9,93.4,tier1_strict,5,"Tier1, StableFormula, HighTc"
315,Y1Ba2Cu2.95Co0.05O6.92,94.3,tier1_strict,5,"Tier1, StableFormula, HighTc"
316,Y1Ba2Cu2.9Co0.1O6.82,73.0,tier1_strict,4,"Tier1, StableFormula"
317,Y1Ba2Cu2.8Co0.2O6.83,53.0,tier1_strict,4,"Tier1, StableFormula"
318,Y1Ba2Cu2.7Co0.3O6.88,22.0,tier1_strict,4,"Tier1, StableFormula"
323,Y1Ba2Cu2.7Ni0.3O6.97,50.2,tier1_strict,4,"Tier1, StableFormula"
324,Y1Ba2Cu2.9Zn0.1O6.81,55.0,tier1_strict,4,"Tier1, StableFormula"
325,Y1Ba2Cu2.8Zn0.2O6.79,45.0,tier1_strict,4,"Tier1, StableFormula"
326,Y1Ba2Cu2.7Zn0.3O6.74,45.0,tier1_strict,4,"Tier1, StableFormula"
327,Y1Ba2Cu3O6.85,87.33636363636364,tier1_strict,5,"Tier1, StableFormula, HighTc"
329,Gd1Ba1.8Sr0.2Cu3OX,94.7,tier1_strict,5,"Tier1, StableFormula, HighTc"
330,Gd1Ba1.6Sr0.4Cu3OX,92.4,tier1_strict,5,"Tier1, StableFormula, HighTc"
331,Gd1Ba1.4Sr0.6Cu3Oz,89.4,tier1_strict,5,"Tier1, StableFormula, HighTc"
332,Gd1Ba1.2Sr0.8Cu3Oz,90.7,tier1_strict,5,"Tier1, StableFormula, HighTc"
333,Gd1Ba1Sr1Cu3Oz,88.6,tier1_strict,5,"Tier1, StableFormula, HighTc"
334,La2.89Na0.11Cu1O4-X,16.0,tier2_standard,2,Tier2
335,La2.89Na0.41Cu1O4-X,18.0,tier2_standard,2,Tier2
336,Bi1Ca1Sr1Cu2Oz,72.5,tier1_strict,4,"Tier1, StableFormula"
339,Ho1Ba2Cu3O7,92.4,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, HighTc"
340,Sm1Ba2Cu3O7,92.23333333333332,tier1_strict,5,"Tier1, StableFormula, HighTc"
343,Eu1Ba2Cu3OX,93.63333333333333,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, HighTc"
345,Nd1Ba2Cu3OX,89.775,tier1_strict,5,"Tier1, StableFormula, HighTc"
347,Bi1Sr1Ca1Cu2OX,98.33333333333331,tier1_strict,5,"Tier1, StableFormula, HighTc"
348,La1.8Sr0.2Cu1O4,30.797222222222224,tier1_strict,4,"Tier1, StableFormula"
349,Y1.2Ba0.8Cu1O4,75.0,tier1_strict,4,"Tier1, StableFormula"
350,Gd1Ba2Cu2.82Fe0.18O9-Z,42.0,tier2_standard,2,Tier2
351,Y1.2Ba0.8Cu1O4-X,94.5,tier2_standard,3,"Tier2, HighTc"
353,Er0.75Yb0.25Ba2Cu3O7-Z,87.6,tier2_standard,3,"Tier2, HighTc"
354,Er0.62Yb0.38Ba2Cu3O7-Z,88.3,tier2_standard,3,"Tier2, HighTc"
355,Er0.5Yb0.5Ba2Cu3O7-Z,89.3,tier2_standard,3,"Tier2, HighTc"
356,Er0.37Yb0.63Ba2Cu3O7-Z,87.8,tier2_standard,3,"Tier2, HighTc"
357,Er0.25Yb0.75Ba2Cu3O7-Z,86.3,tier2_standard,3,"Tier2, HighTc"
358,Yb1Ba2Cu3O7-Z,89.86666666666667,tier2_standard,5,"Tier2, ReliableMeasurement, HighTc"
359,Y1Ba2Cu2.9Fe0.1OX,90.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
360,Y1Ba2Cu2.8Fe0.2OX,66.0,tier1_strict,4,"Tier1, StableFormula"
361,Y1Ba2Cu2.7Fe0.3OX,44.0,tier1_strict,4,"Tier1, StableFormula"
362,Y1Ba2Cu2.6Fe0.4OX,22.0,tier1_strict,4,"Tier1, StableFormula"
363,Y1Ba2Cu2.9Ni0.1OX,81.45,tier1_strict,5,"Tier1, StableFormula, HighTc"
364,Y1Ba2Cu2.8Ni0.2OX,73.0,tier1_strict,4,"Tier1, StableFormula"
365,Y1Ba2Cu2.9Co0.1OX,88.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
367,Y1Ba2Cu2.7Co0.3OX,50.0,tier1_strict,4,"Tier1, StableFormula"
368,Y1Ba2Cu2.6Co0.4OX,15.0,tier1_strict,4,"Tier1, StableFormula"
369,Y1Ba2Cu2.9Zn0.1OX,56.15,tier1_strict,4,"Tier1, StableFormula"
370,Y1Ba2Cu2.8Zn0.2OX,50.0,tier1_strict,4,"Tier1, StableFormula"
380,Y1Ba2Cu2.94Ga0.06O7-Z,86.95,tier2_standard,5,"Tier2, ReliableMeasurement, HighTc"
381,Y1Ba2Cu2.85Ga0.15O7-Z,72.8,tier2_standard,2,Tier2
382,Y1Ba2Cu2.7Ga0.3O7-Z,45.35,tier2_standard,2,Tier2
383,Y1Ba2Cu3O6.98,89.78888888888889,tier2_standard,4,"Tier2, StableFormula, HighTc"
386,Y1Ba2Cu2.88Fe0.12O7-Z,74.43333333333334,tier2_standard,2,Tier2
387,Gd1Ba2Cu3O7-Z,92.58333333333331,tier2_standard,3,"Tier2, HighTc"
388,Eu1Ba2Cu3O7-Z,91.86666666666667,tier2_standard,3,"Tier2, HighTc"
389,Bi1Sr1Cu1OX,6.5,tier1_strict,4,"Tier1, StableFormula"
391,Nd1.2Ba1.8Cu3OX,60.0,tier1_strict,4,"Tier1, StableFormula"
392,Nd1.08Ba1.92Cu3OX,86.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
394,Nd1.32Ba1.68Cu3OX,20.0,tier1_strict,4,"Tier1, StableFormula"
395,Y1Ba2Cu2.97Mo0.03OX,76.0,tier1_strict,4,"Tier1, StableFormula"
396,Y1Ba2Cu2.94Mo0.06OX,63.0,tier1_strict,4,"Tier1, StableFormula"
397,Y1Ba2Cu2.895Mo0.105OX,52.5,tier1_strict,4,"Tier1, StableFormula"
398,Y1Ba2Cu2.85Mo0.15OX,50.0,tier1_strict,4,"Tier1, StableFormula"
399,Y1Ba2Cu2.97Zn0.03OX,79.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
400,Y1Ba2Cu2.94Zn0.06OX,62.0,tier1_strict,4,"Tier1, StableFormula"
401,Y1Ba2Cu2.895Zn0.105OX,52.0,tier1_strict,4,"Tier1, StableFormula"
402,Y1Ba2Cu2.85Zn0.15OX,38.0,tier1_strict,4,"Tier1, StableFormula"
405,Y1Ba2Cu2.97Al0.03OX,81.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
406,Y1Ba2Cu2.94Al0.06OX,58.0,tier1_strict,4,"Tier1, StableFormula"
407,Y1Ba2Cu2.885Al0.105OX,42.0,tier1_strict,4,"Tier1, StableFormula"
408,Y1Ba2Cu2.85Al0.15OX,33.0,tier1_strict,4,"Tier1, StableFormula"
409,Y1Ba1.95La0.05Cu3OX,91.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
411,Y1Ba1.85La0.15Cu3OX,88.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
413,Y1Ba1.75La0.25Cu3OX,76.0,tier1_strict,4,"Tier1, StableFormula"
415,Y1Ba1.65La0.35Cu3OX,64.0,tier1_strict,4,"Tier1, StableFormula"
418,Nd1Ba2Cu3O7-Z,93.32818181818185,tier2_standard,2,Tier2
419,Sm1Ba2Cu3O7-Z,87.38,tier2_standard,2,Tier2
422,Dy1Ba2Cu3O7-Z,91.5,tier2_standard,5,"Tier2, ReliableMeasurement, HighTc"
423,Ho1Ba2Cu3O7-Z,91.975,tier2_standard,5,"Tier2, ReliableMeasurement, HighTc"
425,Tm1Ba2Cu3O7-Z,91.75,tier2_standard,5,"Tier2, ReliableMeasurement, HighTc"
428,Y1Ba2Cu3HO7-X,66.525,tier2_standard,3,"Tier2, HighTc"
441,Nd1Ba2Cu3O7,93.38571428571429,tier1_strict,5,"Tier1, StableFormula, HighTc"
442,Nd1Ba2Cu3S1O6,69.0,tier1_strict,4,"Tier1, StableFormula"
443,Nd1Ba2Cu3S1O5,56.0,tier1_strict,4,"Tier1, StableFormula"
444,Eu1Ba2Cu3O7,90.15833333333336,tier1_strict,5,"Tier1, StableFormula, HighTc"
445,Eu1Ba2Cu3S1O6,85.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
446,Gd1Ba2Cu3O7,93.35714285714286,tier1_strict,5,"Tier1, StableFormula, HighTc"
447,Gd1Ba2Cu3S1O6,92.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
459,Y1Ba2Cu3O6.89,86.34,tier1_strict,5,"Tier1, StableFormula, HighTc"
460,Y1Ba2Cu3S0.03O7.12,90.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
461,Y1Ba2Cu3S0.06O7.23,89.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
462,Y1Ba2Cu3S0.12O7.28,89.0,tier1_strict,5,"Tier1, StableFormula, HighTc"
463,Y1Ba2Cu3OY,92.3,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, HighTc"
