year,count,mean_tc,median_tc,max_tc,high_tc_count,high_tc_fraction
1930.0,10,7.665000000000001,8.175,9.0,0,0.0
1932.0,10,5.1298,4.5,8.8,0,0.0
1952.0,21,5.250267573696145,5.066666666666666,10.843333333333334,0,0.0
1953.0,19,3.5853508771929827,3.88,9.1,0,0.0
1954.0,12,3.1673860838779953,3.07,6.0,0,0.0
1955.0,36,4.66912037037037,3.9,15.8,0,0.0
1956.0,6,7.674761111111111,8.043033333333334,10.5,0,0.0
1957.0,8,6.27125,6.1,9.5,0,0.0
1958.0,25,3.771933333333333,3.79,5.95,0,0.0
1959.0,34,3.7942647058823527,3.575,14.38,0,0.0
1960.0,45,3.7943703703703706,3.67,8.4,0,0.0
1961.0,110,4.811265151515151,3.9050000000000002,15.8,0,0.0
1962.0,31,3.829489247311828,2.6,16.9,0,0.0
1963.0,118,4.130344027441485,3.0,18.2,0,0.0
1964.0,131,7.5541981097782624,4.0,18.3,0,0.0
1965.0,160,3.985004567307692,2.7,17.3,0,0.0
1966.0,150,5.778351492063492,3.7110000000000003,18.3,0,0.0
1967.0,181,7.916601381215469,7.92,20.375,0,0.0
1968.0,300,4.412027253968254,1.56,20.1,0,0.0
1969.0,282,7.742371336375962,8.225,20.7,0,0.0
1970.0,235,3.3318588936170213,2.2775,20.75,0,0.0
1971.0,168,4.031771413090878,2.53125,19.2,0,0.0
1972.0,163,4.681432515337423,3.05,45.0,0,0.0
1973.0,743,6.841348843171185,6.25,24.761,0,0.0
1974.0,214,6.311918703570573,5.137384615384615,23.0,0,0.0
1975.0,168,5.595586837765409,4.3,20.0,0,0.0
1976.0,78,5.700947435897436,4.859999999999999,19.8,0,0.0
1977.0,61,3.7055109289617487,2.7,19.9,0,0.0
1978.0,94,5.244992553191489,3.64,19.85,0,0.0
1979.0,70,4.571946712018141,3.8099999999999996,11.0,0,0.0
1980.0,129,6.314668736947806,5.45,19.1,0,0.0
1981.0,92,8.693610420979985,8.35,18.55,0,0.0
1982.0,129,4.004716897379106,2.87,19.45,0,0.0
1983.0,94,4.959261252045827,3.41,21.0,0,0.0
1984.0,154,9.100381889119284,6.4985,20.0,0,0.0
1985.0,106,4.052954867377632,3.0932500000000003,19.7,0,0.0
1986.0,60,4.552196186868687,3.57125,20.26,0,0.0
1987.0,246,58.61772860129457,68.8,275.0,108,0.43902439024390244
1988.0,420,65.50183108286281,73.0,124.5,198,0.4714285714285714
1989.0,565,57.821734725642195,60.0,125.0,219,0.38761061946902653
1990.0,404,53.12954627549102,55.150000000000006,136.0,148,0.36633663366336633
1991.0,503,52.16879361923696,51.0,123.0,159,0.31610337972166996
1992.0,500,53.26664980352303,53.0,124.0,132,0.264
1993.0,267,58.98460911955294,65.3,133.0,90,0.33707865168539325
1994.0,546,49.947864468864466,43.0,132.0,159,0.29120879120879123
1995.0,674,55.89148268804027,57.0,143.0,194,0.2878338278931751
1996.0,740,52.05333783783784,50.0,134.5,210,0.28378378378378377
1997.0,455,48.80061276634811,52.0,135.0,109,0.23956043956043957
1998.0,496,53.95113565668203,57.0,135.8,164,0.33064516129032256
1999.0,404,53.42766900440044,58.0,132.0,126,0.3118811881188119
2000.0,415,35.652467794989484,26.0,118.0,61,0.14698795180722893
2001.0,359,34.25751034619976,28.6,132.25,55,0.1532033426183844
2002.0,216,21.686684799382714,10.649999999999999,148.35,10,0.046296296296296294
2003.0,273,35.988696359052724,25.6,132.9,52,0.19047619047619047
2004.0,226,25.168933484392188,8.48,128.0,26,0.11504424778761062
2005.0,254,23.926359143858534,15.2,102.0,19,0.07480314960629922
2006.0,197,33.39973493670657,22.4,115.0,37,0.18781725888324874
2007.0,141,23.176851063829787,6.11,108.7,22,0.15602836879432624
2008.0,204,19.882928804855275,12.105,108.0,5,0.024509803921568627
2009.0,319,18.911657822062995,13.3,120.0,6,0.018808777429467086
2010.0,356,19.478139669163546,15.525,117.0,7,0.019662921348314606
2011.0,309,16.65551124980737,13.2,120.0,3,0.009708737864077669
2012.0,368,15.905174797273983,7.8100000000000005,90.0,6,0.016304347826086956
2013.0,251,11.55503168279264,5.12,111.5,4,0.01593625498007968
2014.0,298,14.691488255033558,7.87,90.5,2,0.006711409395973154
2015.0,231,9.129882756132757,4.0,42.0,0,0.0
2016.0,237,10.214543148483022,4.635,132.0,4,0.016877637130801686
2017.0,150,8.998878888888889,5.188750000000001,38.5,0,0.0
2018.0,126,12.992566137566136,3.83,287.0,3,0.023809523809523808
2019.0,120,13.044243948412698,6.0329999999999995,250.0,6,0.05
2020.0,54,5.394592592592592,5.02,10.67,0,0.0
