feature,f_score,mi_score,rf_importance,f_score_norm,mi_score_norm,rf_importance_norm,composite_score
MagpieData range NsUnfilled,3711.0250203618098,0.16060760800243568,6.7488184461023214e-06,0.27460758415687747,0.18767758544474944,6.7488184461023214e-06,0.15409730614002434
MagpieData maximum NsUnfilled,3482.361695872681,0.15396067077883258,2.0112578366706212e-05,0.25768269812547484,0.17991032495040388,2.0112578366706212e-05,0.1458710452180818
MagpieData minimum NdValence,1796.776383273797,0.2535699653035999,0.0,0.13292137325766207,0.29630849634948053,0.0,0.14307662320238088
MagpieData range NUnfilled,299.50491617106644,0.33935516784086595,0.0009732305916204037,0.022098402431881468,0.396552562488855,0.0009732305916204037,0.1398747318374523
MagpieData maximum NdValence,1760.1177105540175,0.21599775110640174,0.00019742841257187535,0.130208022267813,0.2524035871857992,0.00019742841257187535,0.12760301262206133
MagpieData mode NdUnfilled,1898.0400878658932,0.20367315674636277,6.782336072568492e-06,0.1404165702384981,0.23800171581839166,6.782336072568492e-06,0.12614168946432078
MagpieData avg_dev GSbandgap,926.8315043077314,0.252014533742035,0.0006699617846352268,0.0685309951198553,0.29449090100994574,0.0006699617846352268,0.1212306193048121
avg f valence electrons,562.737343413973,0.2704736126248135,0.0005887127490956316,0.041581976550333896,0.31606120765570256,0.0005887127490956316,0.11941063231837735
MagpieData mean GSbandgap,825.0666464353363,0.2527961922364317,0.0011084251860795976,0.06099870446791012,0.29540430592703115,0.0011084251860795976,0.11917047852700696
MagpieData mean NfValence,562.737343413973,0.2669414598190567,0.0005323576815752052,0.041581976550333896,0.3119337200587496,0.0005323576815752052,0.11801601809688624
MagpieData range NsValence,1895.907907127994,0.17397435817546203,1.797740765476535e-05,0.14025875343045546,0.20329726516551788,1.797740765476535e-05,0.1145246653345427
MagpieData mode NdValence,378.69957622872545,0.26407394639178383,3.0134782616711976e-05,0.027960123364900075,0.3085828950078416,3.0134782616711976e-05,0.11219105105178612
MagpieData mode NpValence,1495.1953847438897,0.19012002781850512,1.5347766833708207e-05,0.11059936757197131,0.22216424370833363,1.5347766833708207e-05,0.11092631968237955
MagpieData minimum NsValence,1633.0736874773168,0.17243774691943026,3.5735394660752593e-06,0.12080465329140212,0.201501662243053,3.5735394660752593e-06,0.10743662969130706
MagpieData maximum NUnfilled,59.79581945083746,0.26967222645506705,0.0005915208103134423,0.004355945692286454,0.31512475001700496,0.0005915208103134423,0.1066907388398683
MagpieData maximum NdUnfilled,177.41430450953243,0.25737823426146145,0.00018674685198587286,0.01306166821797853,0.30075863872831987,0.00018674685198587286,0.10466901793276144
MagpieData range NdUnfilled,8.278298985661673,0.26808064990381375,0.00014652861965449868,0.0005427930389626967,0.31326491754764163,0.00014652861965449868,0.10465141306875293
MagpieData range NpUnfilled,14.665759451179197,0.257378954734492,0.00022931178146564594,0.0010155712628011845,0.30075948063512886,0.00022931178146564594,0.10066812122646522
MagpieData avg_dev NfValence,23.289728652296798,0.2484183185355242,0.0004930293052833916,0.0016538883002768688,0.2902885534680572,0.0004930293052833916,0.09747849035787248
MagpieData maximum NpUnfilled,1.1603572628977286,0.24971503990612431,0.00019931382646601935,1.594706265628267e-05,0.2918038337144646,0.00019931382646601935,0.09733969820119565
MagpieData range GSbandgap,438.48932372733793,0.21784410666567489,8.386973675991015e-05,0.03238555828989815,0.25456114097510424,8.386973675991015e-05,0.09567685633392076
MagpieData maximum GSbandgap,432.69994609099365,0.2091906071834324,7.470671137373749e-05,0.03195704813459978,0.24444911758671015,7.470671137373749e-05,0.09216029081089455
MagpieData maximum SpaceGroupNumber,772.1936368361155,0.1445257710668324,0.0007602380020459227,0.05708522309260276,0.16888519843936897,0.0007602380020459227,0.07557688651133922
MagpieData mode NpUnfilled,16.308424855019815,0.1914093102194152,0.00010856356420577497,0.0011371558011605584,0.22367083116685268,0.00010856356420577497,0.07497218351073967
MagpieData maximum Row,787.8201385782386,0.13951124758475864,0.00014524252596812308,0.05824184390901847,0.16302549060250654,0.00014524252596812308,0.07380419234583105
MagpieData avg_dev GSmagmom,275.5380081736136,0.16224912541339487,0.0027552772023209052,0.020324452948341593,0.18959577617049428,0.0027552772023209052,0.07089183544038559
MagpieData mode GSbandgap,522.6340505244312,0.14357363259582767,5.1651996537222775e-05,0.03861366642383732,0.1677725796072367,5.1651996537222775e-05,0.06881263267587041
MagpieData mean GSmagmom,278.1209344553054,0.1482052340215918,0.0022268481039602007,0.020515632417295857,0.1731848249120587,0.0022268481039602007,0.06530910181110491
MagpieData minimum NdUnfilled,802.5085513616053,0.10743302117986153,1.535779433896079e-07,0.059329030552946145,0.12554056599713048,1.535779433896079e-07,0.061623250042673335
MagpieData avg_dev NfUnfilled,99.01957067434613,0.1328144833160687,0.0025383948720949442,0.007259155118918992,0.15520000484954433,0.0025383948720949442,0.05499918494685276
MagpieData mean NfUnfilled,141.7032505286786,0.1297243687593581,0.0015818099539338022,0.010418456762719762,0.15158905985158183,0.0015818099539338022,0.054529775522745134
MagpieData maximum NfValence,147.4402947360739,0.10753253338554547,3.435530394776597e-05,0.01084309337457791,0.1256568507156275,3.435530394776597e-05,0.04551143313138439
MagpieData range NfValence,233.08993968316284,0.09948366516973461,3.024058634905116e-05,0.01718259046095259,0.1162513675564271,3.024058634905116e-05,0.044488066201242904
MagpieData range GSmagmom,85.52037537785954,0.08721499582285519,0.0005501032470240567,0.0062599903319155385,0.10191484721171576,0.0005501032470240567,0.03624164693021845
MagpieData maximum GSmagmom,85.91454714663912,0.08003917167646168,0.0005095477849553336,0.0062891655933104106,0.09352955733584115,0.0005095477849553336,0.033442756904702296
MagpieData range NfUnfilled,7.875830953208546,0.08102292633969999,0.0027148811937386056,0.0005130037161853317,0.09467912118379894,0.0027148811937386056,0.03263566869790763
MagpieData mode NfValence,488.06700459939236,0.047007230643389075,2.594914379307884e-07,0.03605513057629541,0.054930172084138786,2.594914379307884e-07,0.03032852071729071
MagpieData maximum NfUnfilled,7.413805448768658,0.07522023241369791,0.002564616190278051,0.00047880615073089356,0.08789839890885871,0.002564616190278051,0.030313940416622553
MagpieData minimum NpUnfilled,239.9753204555014,0.040841300541996084,1.911400365864049e-05,0.017692223062136,0.047724991160001076,1.911400365864049e-05,0.02181210940859857
MagpieData mode NsUnfilled,233.10590845406725,0.03963728890181972,0.00019216838412652084,0.017183772415374984,0.04631804661804485,0.00019216838412652084,0.021231329139182117
MagpieData mode NsValence,56.348909633929985,0.048118543652776236,1.3438434484510847e-05,0.0041008170836999225,0.056228793892091726,1.3438434484510847e-05,0.020114349803425385
MagpieData minimum NpValence,216.0125151674717,0.038007335130126885,3.3858179255232704e-08,0.015918577247273913,0.04441336855165316,3.3858179255232704e-08,0.02011065988570211
MagpieData mode GSmagmom,61.44298415915777,0.029639025666422736,1.3287945599132914e-05,0.004477863253948578,0.03463460318719656,1.3287945599132914e-05,0.013041918128914755
MagpieData minimum NfValence,144.2470826604049,0.017693283108358715,0.0,0.010606742614894252,0.02067543806714795,0.0,0.010427393560680736
MagpieData maximum NsValence,124.33809773613102,0.007983209647597356,0.0,0.009133146874969338,0.009328758017102022,0.0,0.006153968297357121
MagpieData minimum NsUnfilled,84.29659024390214,0.0070499165892226046,0.0,0.006169409894648527,0.008238160940869727,0.0,0.004802523611839418
MagpieData minimum GSbandgap,0.9722885843642498,0.010801999108525528,0.000424706197574548,2.0268550437717585e-06,0.012622646809070603,0.000424706197574548,0.004349793287229641
MagpieData mode NfUnfilled,44.644883283319835,0.006324085657675171,8.98471528168327e-08,0.003234524631531767,0.007389993171184311,8.98471528168327e-08,0.0035415358832896313
MagpieData minimum NfUnfilled,3.553422858949245,0.004738955800058786,0.0,0.00019307368569183685,0.005537693968214356,0.0,0.0019102558846353975
MagpieData minimum GSmagmom,0.9449048009989448,0.0,0.0,0.0,0.0,0.0,0.0
